Date,VIX,Effective Federal Funds Rate,Log Total Asset,Currency in Circulation/Total Asset,Unemployment Rate
7/31/2017,10.26,1.15,15.31268423,0.000349648,4.4
8/31/2017,10.59,1.16,15.31133161,0.000350726,4.2
9/30/2017,9.51,1.15,15.31059682,0.000353901,4.1
10/31/2017,10.18,1.15,15.31125763,0.000354779,4.2
11/30/2017,11.28,1.16,15.30850162,0.000357751,4.1
12/31/2017,11.04,1.3,15.30762918,0.000360854,4
1/31/2018,13.54,1.41,15.30569036,0.000363087,4.1
2/28/2018,19.85,1.42,15.30055627,0.000366074,4
3/31/2018,19.97,1.51,15.29693184,0.000371213,4
4/30/2018,15.93,1.69,15.29304872,0.000374235,3.8
5/31/2018,15.43,1.7,15.28415719,0.000380093,4
6/30/2018,16.09,1.82,15.27792556,0.000384877,3.8
7/31/2018,12.83,1.91,15.27122959,0.000389279,3.8
8/31/2018,12.86,1.91,15.25961802,0.000394427,3.7
9/30/2018,12.12,1.95,15.25180126,0.000400828,3.8
10/31/2018,21.23,2.19,15.24294,0.000405504,3.8
11/30/2018,18.07,2.2,15.23204286,0.000412729,3.9
12/31/2018,25.42,2.27,15.22248143,0.00041799,4
1/31/2019,16.57,2.4,15.21431213,0.00042212,3.8
2/28/2019,14.7,2.4,15.20247913,0.000426657,3.8
3/31/2019,13.71,2.41,15.19295702,0.000433635,3.7
4/30/2019,13.12,2.42,15.18493803,0.000438944,3.7
5/31/2019,18.71,2.39,15.16920605,0.000447407,3.6
6/30/2019,15.08,2.38,15.1615318,0.000452293,3.6
7/31/2019,16.12,2.4,15.15150503,0.000459254,3.7
8/31/2019,18.98,2.13,15.14340571,0.000463577,3.5
9/30/2019,16.24,2.04,15.15271912,0.000462835,3.6
10/31/2019,13.22,1.83,15.19431595,0.000445695,3.6
11/30/2019,12.62,1.55,15.21240164,0.000441695,3.6
12/31/2019,13.78,1.55,15.23038205,0.000435928,3.5
1/31/2020,18.84,1.55,15.24086033,0.000432519,3.5
2/29/2020,40.11,1.58,15.24340279,0.000430701,4.4
3/31/2020,53.54,0.65,15.34568381,0.000395343,14.8
4/30/2020,34.15,0.05,15.65579666,0.000299663,13.3
5/31/2020,27.51,0.05,15.75390039,0.000277757,11.1
6/30/2020,30.43,0.08,15.77951126,0.000274331,10.2
7/31/2020,24.46,0.09,15.75575173,0.000284217,8.4
8/31/2020,26.41,0.1,15.7579708,0.00028735,7.8
9/30/2020,26.37,0.09,15.76830754,0.000287478,6.9
10/31/2020,38.02,0.09,15.78086073,0.000285846,6.7
11/30/2020,20.57,0.09,15.78932961,0.000285579,6.7
12/31/2020,22.75,0.09,15.80598574,0.000282898,6.3
1/31/2021,33.09,0.09,15.81322147,0.000283978,6.2
2/28/2021,27.95,0.08,15.83042478,0.000280026,6
3/31/2021,19.4,0.07,15.84994273,0.000276583,6.1
4/30/2021,18.61,0.07,15.86654928,0.000277113,5.8
5/31/2021,16.76,0.06,15.87817378,0.000275576,5.9
6/30/2021,15.83,0.08,15.898266,0.000271454,5.4
7/31/2021,18.24,0.1,15.91846801,0.000266915,5.2
8/31/2021,16.48,0.09,15.93078888,0.000263828,4.8
9/30/2021,23.14,0.08,15.94595557,0.00026072,4.6
10/31/2021,16.26,0.08,15.95751889,0.000258616,4.2
