Date,VIX
11/30/2015,16.21
12/31/2015,18.02545455
1/31/2016,23.71789474
2/29/2016,22.517
3/31/2016,15.84909091
4/30/2016,14.30047619
5/31/2016,14.85285714
6/30/2016,17.77454545
7/31/2016,13.1585
8/31/2016,12.39956522
9/30/2016,14.21952381
10/31/2016,14.5852381
11/30/2016,15.23619048
12/31/2016,12.47238095
1/31/2017,11.6085
2/28/2017,11.53052632
3/31/2017,11.89782609
4/30/2017,13.13631579
5/31/2017,10.86227273
6/30/2017,10.51363636
7/31/2017,10.2645
8/31/2017,11.97565217
9/30/2017,10.438
10/31/2017,10.12545455
11/30/2017,10.54047619
12/31/2017,10.2645
1/31/2018,11.06238095
2/28/2018,22.46473684
3/31/2018,19.02380952
4/30/2018,18.26761905
5/31/2018,14.12454545
6/30/2018,13.67809524
7/31/2018,13.14761905
8/31/2018,12.54695652
9/30/2018,12.91052632
10/31/2018,19.35217391
11/30/2018,19.38904762
12/31/2018,24.95315789
1/31/2019,19.57238095
2/28/2019,15.23052632
3/31/2019,14.4852381
4/30/2019,12.94904762
5/31/2019,16.72181818
6/30/2019,15.836
7/31/2019,13.30590909
8/31/2019,18.97909091
9/30/2019,15.559
10/31/2019,15.46652174
11/30/2019,12.5235
12/31/2019,13.75666667
1/31/2020,13.94095238
2/29/2020,19.62894737
3/31/2020,57.73681818
4/30/2020,41.45380952
5/31/2020,30.897
6/30/2020,31.11954545
7/31/2020,26.84045455
8/31/2020,22.88952381
9/30/2020,27.64761905
10/31/2020,29.43863636
11/30/2020,24.9955
12/31/2020,22.37409091
1/31/2021,24.91
2/28/2021,23.14052632
3/31/2021,21.84304348
4/30/2021,17.41619048
5/31/2021,19.7605
6/30/2021,16.95681818
7/31/2021,17.60333333
8/31/2021,17.47272727
