Date,Log Stock Price,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
12/31/2014,7.629927139,15.31889545,7.190448578,0.122580645,-2.841205758
1/31/2015,7.598394317,15.32117564,7.195522598,0.11483871,-3.303349592
2/28/2015,7.651833188,15.31878813,7.20136214,0.110714286,-2.614517199
3/31/2015,7.634284043,15.31699309,7.211382548,0.112903226,-2.370226502
4/30/2015,7.642768709,15.31565927,7.215185713,0.124666667,-2.397627794
5/31/2015,7.653205494,15.31503628,7.218594456,0.123225806,-3.071688331
6/30/2015,7.631969832,15.31492359,7.2197577,0.129,-2.194130278
7/31/2015,7.651519525,15.31691804,7.222401918,0.130322581,-2.089988268
8/31/2015,7.586894809,15.31613154,7.226247373,0.138064516,-1.804268513
9/30/2015,7.56009609,15.3161823,7.232640791,0.136,-1.586214918
10/31/2015,7.639815433,15.31856521,7.238086556,0.123548387,-1.709002709
11/30/2015,7.640320269,15.31655687,7.246361665,0.117666667,-1.921090803
12/31/2015,7.622634597,15.31652585,7.254915764,0.240645161,-1.759177483
1/31/2016,7.570566956,15.31733486,7.256530981,0.342903226,-1.079594443
2/29/2016,7.566430055,15.3164273,7.259099414,0.375172414,-1.176821854
3/31/2016,7.63033504,15.31609734,7.270227009,0.362258065,-1.378825584
4/30/2016,7.633030773,15.31672798,7.275614223,0.365333333,-1.493512122
5/31/2016,7.648239187,15.31348789,7.28000653,0.36516129,-0.892665495
6/30/2016,7.649149619,15.31273085,7.284481898,0.377666667,-1.061595672
7/31/2016,7.684140058,15.31336183,7.288707213,0.391612903,-0.815379536
8/31/2016,7.682920139,15.31218036,7.289160318,0.396774194,-0.901463501
9/30/2016,7.681684894,15.31211919,7.293187733,0.396333333,-1.099896862
10/31/2016,7.662068111,15.31059279,7.296962779,0.396451613,-0.84236148
11/30/2016,7.695671584,15.30948806,7.305550918,0.406666667,-0.546663415
12/31/2016,7.713708687,15.31066667,7.312790128,0.54,-0.519441513
1/31/2017,7.731434985,15.30949306,7.316268238,0.649677419,-0.499787461
2/28/2017,7.767958083,15.31029463,7.316318749,0.656785714,-0.372836228
3/31/2017,7.767568777,15.31224054,7.331138102,0.786129032,-0.254522988
4/30/2017,7.776618917,15.31449378,7.339195104,0.896,-0.24850999
5/31/2017,7.788128636,15.31256688,7.344824475,0.907419355,-0.280618992
6/30/2017,7.792930918,15.31269291,7.349365703,1.04,-0.182453787
7/31/2017,7.81209488,15.31268423,7.35410158,1.150645161,-0.260024187
8/31/2017,7.812641223,15.31133161,7.355825239,1.157096774,-0.405176421
9/30/2017,7.83176018,15.31059682,7.364100588,1.153333333,-0.263221036
10/31/2017,7.853705779,15.31125763,7.367243976,1.153870968,-0.133134846
11/30/2017,7.881401294,15.30850162,7.372828398,1.157,-0.131927828
12/31/2017,7.891184898,15.30762918,7.380595195,1.301612903,-0.087970518
1/31/2018,7.945842316,15.30569036,7.384821782,1.414516129,-0.072211146
2/28/2018,7.9061162,15.30055627,7.387882955,1.4175,-0.056354242
3/31/2018,7.878863687,15.29693184,7.39819721,1.506129032,0.006857353
4/30/2018,7.881578799,15.29304872,7.40242149,1.692333333,0.000151903
5/31/2018,7.902957001,15.28415719,7.409063031,1.7,0.051604926
6/30/2018,7.907787715,15.27792556,7.415338702,1.819666667,0.004514261
7/31/2018,7.943175695,15.27122959,7.420013925,1.91,0.055669035
8/31/2018,7.972990017,15.25961802,7.421541316,1.91483871,0.040663781
9/30/2018,7.977275123,15.25180126,7.429826286,1.954666667,0.091552564
10/31/2018,7.905345774,15.24294,7.432561793,2.187741935,0.035108019
11/30/2018,7.923047551,15.23204286,7.439325586,2.197666667,0.043580072
12/31/2018,7.826782264,15.22248143,7.442429598,2.274193548,0.013209468
1/31/2019,7.902524419,15.21431213,7.444088286,2.4,-0.027604851
2/28/2019,7.931820012,15.20247913,7.442952049,2.4,-0.070025776
3/31/2019,7.949585554,15.19295702,7.449650553,2.40516129,-0.151081883
4/30/2019,7.98814589,15.18493803,7.453798663,2.423666667,0.06400798
5/31/2019,7.920105001,15.16920605,7.457162912,2.390967742,0.011074432
6/30/2019,7.986763321,15.1615318,7.460352638,2.377666667,0.080157544
7/31/2019,7.999806088,15.15150503,7.465596808,2.402903226,0.019472121
8/31/2019,7.98154878,15.14340571,7.466865368,2.125806452,0.068156518
9/30/2019,7.998489954,15.15271912,7.474580445,2.043,0.16740392
10/31/2019,8.018809841,15.19431595,7.47844371,1.829677419,0.079549444
11/30/2019,8.052290132,15.21240164,7.487510332,1.553333333,-0.026577107
12/31/2019,8.080478873,15.23038205,7.49234782,1.550967742,0.028774438
1/31/2020,8.078849457,15.24086033,7.494977562,1.550645161,0.20283289
2/29/2020,7.990989936,15.24340279,7.493308201,1.583103448,0.241417719
3/31/2020,7.857322167,15.34568381,7.509924544,0.652258065,-0.247492678
4/30/2020,7.976743063,15.65579666,7.542944691,0.049,-115.6676218
5/31/2020,8.021029553,15.75390039,7.565134598,0.05,-85.63542335
6/30/2020,8.039250934,15.77951126,7.578334713,0.077666667,-49.75312338
7/31/2020,8.092887713,15.75575173,7.589976892,0.092580645,-38.92744427
8/31/2020,8.160606815,15.7579708,7.603161656,0.09516129,-19.61208378
9/30/2020,8.120588712,15.76830754,7.613940198,0.09,-15.39502393
10/31/2020,8.092533031,15.78086073,7.620803734,0.09,-8.747501736
11/30/2020,8.19467948,15.78932961,7.62833923,0.086333333,-7.669512734
12/31/2020,8.231128477,15.80598574,7.635558153,0.09,-7.56021125
1/31/2021,8.21992936,15.81322147,7.646609065,0.08516129,-6.000884362
2/28/2021,8.24568626,15.83042478,7.649795595,0.075714286,-5.102722458
3/31/2021,8.287249069,15.84994273,7.656943227,0.069677419,-4.000702964
4/30/2021,8.338346391,15.86654928,7.675462124,0.069,-2.82772871
5/31/2021,8.343817897,15.87817378,7.681529919,0.058064516,-1.116398267
6/30/2021,8.365788737,15.898266,7.686549373,0.078,-1.093715879
7/31/2021,8.388281967,15.91846801,7.689882418,0.098064516,0.611391925
8/31/2021,8.416860017,15.93078888,7.690558389,0.092258065,1.117316512
